OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k,Nat_5c_corridors,Nat_5c_corridors_truncated_at_200k
1,1,7,99690,99532,13721,56943,32848,67867,99690,99532,13721,56943,67867,32848,15580,15580
2,1,7,64766,65070,6335,39579,21349,41611,64766,65070,6335,39579,41611,21349,28408,28408
3,1,1,403058,403058,114180,212640,385411,489739,,,114180,,,,198100,198100
4,1,1,28846,7271,2330,9888,1512,11021,28846,7271,2330,9888,11021,1512,7271,7271
5,1,8,16715,4686,2763,6787,1686,6727,16715,4686,2763,6787,6727,1686,4686,4686
6,1,6,180030,67202,63951,118625,122490,174439,180030,67202,63951,118625,174439,122490,67202,67202
7,1,1,180278,180636,61292,117322,105547,150413,180278,180636,61292,117322,150413,105547,91485,91485
8,1,6,232376,188870,122117,158730,156718,248784,,188870,122117,158730,,156718,188870,188870
9,1,1,176285,115787,0,929,178246,311526,176285,115787,0,929,,178246,115787,115787
10,1,1,99482,99482,1510,3939,48459,168790,99482,99482,1510,3939,168790,48459,59673,59673
11,1,1,219946,194627,112965,155230,148418,246089,,194627,112965,155230,,148418,194627,194627
12,1,1,48490,17770,6561,14039,2561,14488,48490,17770,6561,14039,14488,2561,17770,17770
13,1,1,134592,22908,31096,77325,76927,126577,134592,22908,31096,77325,126577,76927,22908,22908
14,1,7,38749,20556,9583,18835,6573,18887,38749,20556,9583,18835,18887,6573,20556,20556
15,1,1,314953,190560,38522,98982,309223,432151,,190560,38522,98982,,,190560,190560
16,1,6,223299,131365,117934,167805,170279,225106,,131365,117934,167805,,170279,131365,131365
17,1,1,42716,75,112,12217,112,11697,42716,75,112,12217,11697,112,75,75
18,1,2,79459,8444,5673,35837,19285,47839,79459,8444,5673,35837,47839,19285,8444,8444
19,1,1,111124,91727,0,2252,60249,181927,111124,91727,0,2252,181927,60249,89349,89349
20,1,1,244410,243876,77968,141191,174436,250306,,,77968,141191,,174436,90768,90768
21,1,1,177653,177681,53936,112016,96172,147973,177653,177681,53936,112016,147973,96172,79454,79454
22,1,1,148174,148395,44817,76633,89270,163483,148174,148395,44817,76633,163483,89270,115978,115978
23,1,6,63448,14540,7826,32039,15488,48700,63448,14540,7826,32039,48700,15488,14540,14540
24,1,7,124139,20582,25784,63755,63226,98299,124139,20582,25784,63755,98299,63226,20582,20582
25,1,1,101951,12969,1820,16681,70983,146003,101951,12969,1820,16681,146003,70983,12969,12969
26,1,1,116824,17544,25703,69044,59290,109024,116824,17544,25703,69044,109024,59290,17544,17544
27,1,1,161577,161922,51279,106960,95185,132433,161577,161922,51279,106960,132433,95185,81764,81764
28,1,1,245476,244943,74460,137503,181355,260472,,,74460,137503,,181355,88055,88055
29,1,1,209827,210243,104240,140468,147119,193150,,,104240,140468,193150,147119,145182,145182
30,1,1,256424,122636,21882,64869,251796,360301,,122636,21882,64869,,,122636,122636
31,1,7,180640,180640,1893,22226,183629,325436,180640,180640,1893,22226,,183629,38867,38867
32,1,6,25100,20358,3388,11149,1174,12278,25100,20358,3388,11149,12278,1174,20358,20358
33,1,20,295261,196031,184044,233028,241076,296418,,196031,184044,,,,196031,196031
34,1,1,164475,21403,21747,61254,143000,199738,164475,21403,21747,61254,199738,143000,21403,21403
35,1,2,52421,52421,587,25907,2105,21640,52421,52421,587,25907,21640,2105,23934,23934
36,1,2,236393,120381,111377,166454,179964,235243,,120381,111377,166454,,179964,120381,120381
37,1,1,158864,158891,40787,95732,77325,125578,158864,158891,40787,95732,125578,77325,54328,54328
38,1,5,482945,483562,378714,411064,420489,466821,,,,,,,412907,
39,1,1,67717,67717,3799,41402,17798,33527,67717,67717,3799,41402,33527,17798,6758,6758
40,1,1,91070,90945,6587,52174,34059,55287,91070,90945,6587,52174,55287,34059,26218,26218
41,1,1,313534,313286,29869,124714,304180,418761,,,29869,124714,,,107187,107187
42,1,1,28150,28441,12204,18017,10252,19709,28150,28441,12204,18017,19709,10252,28441,28441
43,1,1,314615,223976,211989,256829,262916,317593,,,,,,,223976,
44,1,1,149302,80257,1046,6139,128319,252866,149302,80257,1046,6139,,128319,80257,80257
45,1,3,155188,154887,19383,75406,98226,190557,155188,154887,19383,75406,190557,98226,9097,9097
46,1,1,260566,157977,148055,201791,203603,259312,,157977,148055,,,,157977,157977
47,1,3,189805,189805,26391,67547,166526,286976,189805,189805,26391,67547,,166526,19405,19405
48,1,1,21113,21113,1546,4670,711,8696,21113,21113,1546,4670,8696,711,14715,14715
49,1,1,146725,45301,820,15681,134495,235550,146725,45301,820,15681,,134495,45301,45301
50,1,8,206816,109548,98604,150413,150315,206024,,109548,98604,150413,,150315,109548,109548
51,1,1,102907,102907,216,3776,50415,174263,102907,102907,216,3776,174263,50415,68507,68507
52,1,1,298426,298298,76146,158547,246272,340075,,,76146,158547,,,121926,121926
53,1,1,28675,15444,4324,8263,53,7722,28675,15444,4324,8263,7722,53,15444,15444
54,1,1,57695,23088,373,13080,4273,62862,57695,23088,373,13080,62862,4273,23088,23088
55,1,1,102692,102400,17977,63569,45454,66742,102692,102400,17977,63569,66742,45454,33427,33427
56,1,1,199502,123375,102038,141218,149392,202692,199502,123375,102038,141218,,149392,123375,123375
57,1,1,8557,8231,176,1969,4586,3478,8557,8231,176,1969,3478,4586,8231,8231
58,1,1,85184,85252,5840,38536,17572,96102,85184,85252,5840,38536,96102,17572,782,782
59,1,1,25866,25539,699,1230,75,12127,25866,25539,699,1230,12127,75,25539,25539
60,1,1,126447,120009,39453,65743,71996,152475,126447,120009,39453,65743,152475,71996,118383,118383
61,1,3,126477,119272,38417,68711,72030,155731,126477,119272,38417,68711,155731,72030,119272,119272
62,1,7,65528,18296,621,13993,18097,73158,65528,18296,621,13993,73158,18097,18296,18296
